Component_ID,Lot_ID,Parameter,Value_0h,Value_24h,Value_96h,Value_168h,Datasheet_Limit,Ground_Truth_Label
C1001,LOT_A,Leakage_Current_uA,8.73,9.27,11.07,11.84,50.0,NORMAL
C1002,LOT_A,Leakage_Current_uA,9.45,9.61,11.24,11.41,50.0,NORMAL
C1003,LOT_A,Leakage_Current_uA,11.37,10.98,12.41,13.28,50.0,NORMAL
C1004,LOT_A,Leakage_Current_uA,9.39,10.42,12.05,14.58,50.0,NORMAL
C1005,LOT_A,Leakage_Current_uA,9.43,10.23,10.46,12.69,50.0,NORMAL
C1006,LOT_A,Leakage_Current_uA,9.52,10.63,14.38,16.7,50.0,NORMAL
C1007,LOT_A,Leakage_Current_uA,14.06,15.07,16.1,17.06,50.0,NORMAL
C1008,LOT_A,Leakage_Current_uA,8.87,8.58,10.64,12.9,50.0,NORMAL
C1009,LOT_A,Leakage_Current_uA,8.7,9.78,12.4,16.08,50.0,NORMAL
C1010,LOT_A,Leakage_Current_uA,11.05,12.43,14.39,17.47,50.0,NORMAL
C1011,LOT_A,Leakage_Current_uA,39.74,40.45,42.73,45.91,50.0,PEER_ANOMALY
C1012,LOT_A,Leakage_Current_uA,9.02,9.59,13.35,17.15,50.0,NORMAL
C1013,LOT_A,Leakage_Current_uA,11.34,14.01,14.8,18.0,50.0,NORMAL
C1014,LOT_A,Leakage_Current_uA,10.17,9.73,11.77,12.51,50.0,NORMAL
C1015,LOT_A,Leakage_Current_uA,10.28,10.51,13.18,14.61,50.0,NORMAL
C1016,LOT_A,Leakage_Current_uA,9.66,11.05,14.77,17.72,50.0,NORMAL
C1017,LOT_A,Leakage_Current_uA,10.68,12.46,15.16,18.2,50.0,NORMAL
C1018,LOT_A,Leakage_Current_uA,11.17,12.27,12.86,13.06,50.0,NORMAL
C1019,LOT_A,Leakage_Current_uA,10.72,11.3,12.06,13.32,50.0,NORMAL
C1020,LOT_A,Leakage_Current_uA,7.48,8.06,9.0,11.06,50.0,NORMAL
C1021,LOT_A,Leakage_Current_uA,8.89,9.38,12.19,14.9,50.0,NORMAL
C1022,LOT_A,Leakage_Current_uA,9.89,10.44,11.41,12.93,50.0,NORMAL
C1023,LOT_A,Leakage_Current_uA,8.67,8.74,11.24,12.65,50.0,NORMAL
C1024,LOT_A,Leakage_Current_uA,12.16,12.24,13.93,15.3,50.0,NORMAL
C1025,LOT_A,Leakage_Current_uA,11.45,12.5,13.76,16.84,50.0,NORMAL
C1026,LOT_A,Leakage_Current_uA,9.0,9.94,13.11,16.79,50.0,NORMAL
C1027,LOT_A,Leakage_Current_uA,11.01,12.72,16.38,18.02,50.0,NORMAL
C1028,LOT_A,Leakage_Current_uA,41.4,42.39,45.14,48.36,50.0,PEER_ANOMALY
C1029,LOT_A,Leakage_Current_uA,11.1,12.02,12.53,12.98,50.0,NORMAL
C1030,LOT_A,Leakage_Current_uA,10.49,10.78,13.51,17.15,50.0,NORMAL
C1031,LOT_A,Leakage_Current_uA,9.22,9.61,13.53,16.12,50.0,NORMAL
C1032,LOT_A,Leakage_Current_uA,9.06,9.73,10.99,12.8,50.0,NORMAL
C1033,LOT_A,Leakage_Current_uA,11.45,19.98,39.81,58.48,50.0,DRIFT_DEFECT
C1034,LOT_A,Leakage_Current_uA,9.92,10.95,12.34,14.38,50.0,NORMAL
C1035,LOT_A,Leakage_Current_uA,10.91,20.73,40.23,56.61,50.0,DRIFT_DEFECT
C1036,LOT_A,Leakage_Current_uA,10.08,11.62,14.33,17.5,50.0,NORMAL
C1037,LOT_A,Leakage_Current_uA,37.9,38.9,40.52,42.72,50.0,PEER_ANOMALY
C1038,LOT_A,Leakage_Current_uA,12.67,14.02,16.01,18.91,50.0,NORMAL
C1039,LOT_A,Leakage_Current_uA,11.71,12.75,13.75,15.96,50.0,NORMAL
C1040,LOT_A,Leakage_Current_uA,10.6,18.65,36.61,60.58,50.0,DRIFT_DEFECT
C1041,LOT_B,Leakage_Current_uA,10.41,11.39,12.9,14.19,50.0,NORMAL
C1042,LOT_B,Leakage_Current_uA,13.63,13.21,15.48,17.27,50.0,NORMAL
C1043,LOT_B,Leakage_Current_uA,10.22,11.13,12.45,12.82,50.0,NORMAL
C1044,LOT_B,Leakage_Current_uA,9.91,10.31,12.26,12.86,50.0,NORMAL
C1045,LOT_B,Leakage_Current_uA,8.33,9.42,12.12,14.52,50.0,NORMAL
C1046,LOT_B,Leakage_Current_uA,11.42,12.48,13.78,15.69,50.0,NORMAL
C1047,LOT_B,Leakage_Current_uA,12.96,14.03,16.64,19.9,50.0,NORMAL
C1048,LOT_B,Leakage_Current_uA,8.94,9.28,11.15,13.95,50.0,NORMAL
C1049,LOT_B,Leakage_Current_uA,6.84,6.74,7.47,9.04,50.0,NORMAL
C1050,LOT_B,Leakage_Current_uA,10.26,10.93,12.69,15.63,50.0,NORMAL
C1051,LOT_B,Leakage_Current_uA,39.95,40.69,42.2,44.44,50.0,PEER_ANOMALY
C1052,LOT_B,Leakage_Current_uA,10.33,18.63,35.43,58.76,50.0,DRIFT_DEFECT
C1053,LOT_B,Leakage_Current_uA,11.64,12.28,14.22,15.6,50.0,NORMAL
C1054,LOT_B,Leakage_Current_uA,11.88,11.91,12.64,14.14,50.0,NORMAL
C1055,LOT_B,Leakage_Current_uA,11.96,13.77,16.7,19.85,50.0,NORMAL
C1056,LOT_B,Leakage_Current_uA,11.47,12.13,15.52,18.63,50.0,NORMAL
C1057,LOT_B,Leakage_Current_uA,9.98,11.7,14.41,18.47,50.0,NORMAL
C1058,LOT_B,Leakage_Current_uA,10.3,11.54,15.38,18.06,50.0,NORMAL
C1059,LOT_B,Leakage_Current_uA,10.51,11.19,11.67,12.2,50.0,NORMAL
C1060,LOT_B,Leakage_Current_uA,13.14,20.93,37.48,58.42,50.0,DRIFT_DEFECT
C1061,LOT_B,Leakage_Current_uA,12.1,13.38,16.26,18.83,50.0,NORMAL
C1062,LOT_B,Leakage_Current_uA,9.7,10.96,12.7,14.66,50.0,NORMAL
C1063,LOT_B,Leakage_Current_uA,10.41,10.97,14.41,17.33,50.0,NORMAL
C1064,LOT_B,Leakage_Current_uA,10.18,10.97,14.41,16.66,50.0,NORMAL
C1065,LOT_B,Leakage_Current_uA,9.08,9.87,13.57,17.28,50.0,NORMAL
C1066,LOT_B,Leakage_Current_uA,12.6,13.7,16.54,20.36,50.0,NORMAL
C1067,LOT_B,Leakage_Current_uA,10.45,10.96,11.45,13.19,50.0,NORMAL
C1068,LOT_B,Leakage_Current_uA,12.67,20.17,36.96,63.36,50.0,DRIFT_DEFECT
C1069,LOT_B,Leakage_Current_uA,10.88,12.57,15.71,18.85,50.0,NORMAL
C1070,LOT_B,Leakage_Current_uA,13.58,22.36,39.22,61.85,50.0,DRIFT_DEFECT
C1071,LOT_B,Leakage_Current_uA,11.3,13.5,15.31,18.61,50.0,NORMAL
C1072,LOT_B,Leakage_Current_uA,10.07,10.27,12.46,14.29,50.0,NORMAL
C1073,LOT_B,Leakage_Current_uA,13.09,13.66,17.42,19.58,50.0,NORMAL
C1074,LOT_B,Leakage_Current_uA,13.04,22.5,35.4,55.3,50.0,DRIFT_DEFECT
C1075,LOT_B,Leakage_Current_uA,11.16,11.22,13.53,16.02,50.0,NORMAL
C1076,LOT_B,Leakage_Current_uA,10.67,11.71,14.95,18.18,50.0,NORMAL
C1077,LOT_B,Leakage_Current_uA,10.42,9.98,11.93,13.22,50.0,NORMAL
C1078,LOT_B,Leakage_Current_uA,12.09,13.45,14.6,15.81,50.0,NORMAL
C1079,LOT_B,Leakage_Current_uA,10.94,12.77,16.2,19.22,50.0,NORMAL
C1080,LOT_B,Leakage_Current_uA,38.42,39.77,41.29,42.46,50.0,PEER_ANOMALY
C1081,LOT_C,Leakage_Current_uA,9.18,10.24,11.58,13.6,50.0,NORMAL
C1082,LOT_C,Leakage_Current_uA,7.34,8.45,9.98,11.67,50.0,NORMAL
C1083,LOT_C,Leakage_Current_uA,10.33,11.01,13.26,15.66,50.0,NORMAL
C1084,LOT_C,Leakage_Current_uA,8.07,7.84,9.57,10.64,50.0,NORMAL
C1085,LOT_C,Leakage_Current_uA,9.24,9.89,12.52,14.99,50.0,NORMAL
C1086,LOT_C,Leakage_Current_uA,8.96,8.6,10.29,11.48,50.0,NORMAL
C1087,LOT_C,Leakage_Current_uA,7.22,7.76,8.94,9.59,50.0,NORMAL
C1088,LOT_C,Leakage_Current_uA,8.9,9.05,9.96,13.01,50.0,NORMAL
C1089,LOT_C,Leakage_Current_uA,9.22,10.32,11.46,14.02,50.0,NORMAL
C1090,LOT_C,Leakage_Current_uA,10.51,11.61,10.65,12.5,50.0,NORMAL
C1091,LOT_C,Leakage_Current_uA,8.62,8.34,9.33,10.04,50.0,NORMAL
C1092,LOT_C,Leakage_Current_uA,39.56,40.52,44.09,48.23,50.0,PEER_ANOMALY
C1093,LOT_C,Leakage_Current_uA,11.93,13.39,15.23,18.52,50.0,NORMAL
C1094,LOT_C,Leakage_Current_uA,10.94,11.07,13.39,16.74,50.0,NORMAL
C1095,LOT_C,Leakage_Current_uA,9.07,9.15,10.35,11.39,50.0,NORMAL
C1096,LOT_C,Leakage_Current_uA,7.0,8.53,11.61,14.83,50.0,NORMAL
C1097,LOT_C,Leakage_Current_uA,9.77,16.8,33.14,58.46,50.0,DRIFT_DEFECT
C1098,LOT_C,Leakage_Current_uA,9.81,18.03,36.38,54.61,50.0,DRIFT_DEFECT
C1099,LOT_C,Leakage_Current_uA,8.96,9.11,10.74,13.52,50.0,NORMAL
C1100,LOT_C,Leakage_Current_uA,7.99,9.19,11.15,12.97,50.0,NORMAL
C1101,LOT_C,Leakage_Current_uA,9.38,9.54,11.36,11.67,50.0,NORMAL
C1102,LOT_C,Leakage_Current_uA,10.65,11.84,12.66,15.93,50.0,NORMAL
C1103,LOT_C,Leakage_Current_uA,9.7,10.16,11.4,12.52,50.0,NORMAL
C1104,LOT_C,Leakage_Current_uA,9.41,10.47,13.18,16.22,50.0,NORMAL
C1105,LOT_C,Leakage_Current_uA,10.08,11.34,13.48,15.11,50.0,NORMAL
C1106,LOT_C,Leakage_Current_uA,9.28,10.53,10.75,13.31,50.0,NORMAL
C1107,LOT_C,Leakage_Current_uA,7.93,9.04,12.76,14.55,50.0,NORMAL
C1108,LOT_C,Leakage_Current_uA,39.75,40.42,42.4,43.45,50.0,PEER_ANOMALY
C1109,LOT_C,Leakage_Current_uA,9.12,10.44,12.51,14.73,50.0,NORMAL
C1110,LOT_C,Leakage_Current_uA,9.94,11.17,12.05,13.11,50.0,NORMAL
C1111,LOT_C,Leakage_Current_uA,36.66,38.37,41.7,45.22,50.0,PEER_ANOMALY
C1112,LOT_C,Leakage_Current_uA,9.1,9.75,13.27,16.31,50.0,NORMAL
C1113,LOT_C,Leakage_Current_uA,7.88,8.59,9.28,12.63,50.0,NORMAL
C1114,LOT_C,Leakage_Current_uA,9.71,11.86,13.07,15.86,50.0,NORMAL
C1115,LOT_C,Leakage_Current_uA,9.75,10.36,12.23,13.13,50.0,NORMAL
C1116,LOT_C,Leakage_Current_uA,9.71,10.89,13.73,17.55,50.0,NORMAL
C1117,LOT_C,Leakage_Current_uA,12.09,19.69,34.53,57.45,50.0,DRIFT_DEFECT
C1118,LOT_C,Leakage_Current_uA,10.06,9.8,10.21,12.18,50.0,NORMAL
C1119,LOT_C,Leakage_Current_uA,9.6,10.01,12.73,13.48,50.0,NORMAL
C1120,LOT_C,Leakage_Current_uA,8.01,7.07,9.62,10.76,50.0,NORMAL
C1121,LOT_D,Leakage_Current_uA,11.48,12.22,14.44,18.91,50.0,NORMAL
C1122,LOT_D,Leakage_Current_uA,10.73,11.79,14.5,17.16,50.0,NORMAL
